Source Port,Destination Port,Protocol,Packet Length,Packet Type,Traffic Type
31225,17616,ICMP,503,Data,HTTP
17245,48166,ICMP,1174,Data,HTTP
16811,53600,UDP,306,Control,HTTP
20018,32534,UDP,385,Data,HTTP
6131,26646,TCP,1462,Data,DNS
17430,52805,UDP,1423,Data,HTTP
26562,17416,TCP,379,Data,DNS
34489,20396,ICMP,1022,Data,DNS
56296,20857,TCP,1281,Control,FTP
37918,50039,UDP,224,Data,HTTP
35538,35006,ICMP,661,Data,HTTP
10903,36817,TCP,281,Control,HTTP
53471,38048,ICMP,64,Control,DNS
43729,10845,ICMP,1341,Data,HTTP
47795,35243,UDP,913,Data,DNS
24912,21176,TCP,425,Data,DNS
39934,5259,TCP,838,Control,HTTP
16513,50583,TCP,969,Data,HTTP
4510,26783,TCP,124,Control,DNS
55147,17595,TCP,461,Data,HTTP
24907,37634,ICMP,845,Control,DNS
37998,1757,UDP,410,Control,DNS
3133,46077,UDP,1425,Data,DNS
40832,28015,UDP,118,Data,HTTP
39911,27107,TCP,1386,Control,DNS
23021,31279,UDP,433,Control,DNS
32552,15521,UDP,531,Control,FTP
56607,33023,TCP,282,Control,HTTP
64351,43307,ICMP,1487,Control,HTTP
19954,11594,UDP,563,Control,DNS
63062,49527,TCP,1313,Control,HTTP
39208,61136,UDP,350,Control,HTTP
12932,47900,TCP,373,Data,DNS
11482,16459,ICMP,1155,Control,DNS
18768,8138,TCP,521,Data,FTP
41615,15184,ICMP,1346,Data,FTP
34512,40467,UDP,1311,Control,DNS
28975,5960,UDP,117,Control,FTP
46111,15554,TCP,1271,Control,HTTP
5032,1068,TCP,308,Control,DNS
58316,54095,TCP,545,Data,DNS
26896,45972,UDP,572,Control,DNS
1031,40417,TCP,1474,Control,HTTP
57124,48417,UDP,1363,Data,FTP
32979,3852,UDP,443,Data,DNS
59738,44531,TCP,1026,Data,FTP
25022,6593,TCP,554,Control,DNS
10584,23178,ICMP,649,Data,HTTP
23934,57206,TCP,1378,Control,DNS
57819,10509,ICMP,107,Data,HTTP
49005,19289,ICMP,317,Data,HTTP
56497,23998,ICMP,875,Data,HTTP
32348,12619,UDP,576,Data,DNS
23870,21385,TCP,619,Data,FTP
46895,63852,TCP,1224,Data,HTTP
11468,31398,TCP,632,Data,FTP
30954,3615,UDP,670,Control,HTTP
59009,28541,ICMP,88,Data,HTTP
38169,9878,TCP,1497,Control,HTTP
35384,2184,ICMP,304,Data,DNS
22371,4914,ICMP,1001,Data,HTTP
10510,4024,UDP,1352,Data,HTTP
57482,1091,UDP,548,Data,FTP
7703,19110,UDP,1114,Data,DNS
33992,31136,TCP,149,Data,DNS
55666,4791,TCP,548,Data,FTP
20947,24568,UDP,1106,Control,HTTP
38322,33655,UDP,1290,Control,FTP
15973,29809,UDP,190,Data,DNS
5107,60905,ICMP,995,Control,DNS
15067,58291,TCP,1342,Control,HTTP
18782,24516,ICMP,722,Data,HTTP
44364,53766,ICMP,1181,Control,DNS
11307,36569,TCP,907,Control,DNS
62568,27834,ICMP,1427,Data,HTTP
16019,14834,UDP,793,Control,HTTP
54052,10368,ICMP,686,Control,DNS
40014,9720,UDP,1092,Data,DNS
55034,52843,UDP,492,Data,HTTP
31548,18263,UDP,811,Data,FTP
14156,14806,ICMP,1444,Control,HTTP
7828,38216,UDP,423,Control,DNS
53318,29162,TCP,744,Data,HTTP
15743,33364,TCP,173,Control,HTTP
27274,28937,ICMP,340,Data,HTTP
13393,3334,ICMP,1082,Control,FTP
35332,61817,ICMP,876,Control,DNS
47821,52974,UDP,1319,Data,DNS
4384,31482,TCP,976,Data,DNS
27807,53451,UDP,985,Control,HTTP
39737,17067,ICMP,902,Data,FTP
16224,48472,UDP,889,Control,HTTP
31907,51180,TCP,1492,Data,HTTP
26586,17971,UDP,787,Control,DNS
25179,13739,ICMP,1070,Control,HTTP
47513,9156,UDP,1455,Control,FTP
12215,50585,TCP,640,Control,HTTP
19199,27928,ICMP,1178,Data,HTTP
26123,7023,ICMP,158,Data,HTTP
22345,60531,ICMP,1409,Data,FTP
55305,60529,UDP,866,Control,DNS
48262,22039,TCP,343,Data,HTTP
22623,16469,ICMP,531,Data,FTP
28872,35773,ICMP,1387,Control,DNS
33910,47951,TCP,715,Control,HTTP
